"","t0","t1","t5","t22"
"92",4.61927222814453e-05,5.86530445782928e-05,8.16691398440014e-05,0.00011533047294879
"93",3.22788011287307e-05,4.61927222814453e-05,6.71139742006088e-05,0.00011190926272167
"94",4.16590655847612e-05,3.22788011287307e-05,5.5350171628166e-05,0.000109465117523476
"95",8.48481073826125e-05,4.16590655847612e-05,4.96455199082308e-05,0.000106371394605861
"96",5.26712349020248e-05,8.48481073826125e-05,5.27263481911685e-05,0.000103563618993222
"97",7.7240284431313e-05,5.26712349020248e-05,5.15299862559149e-05,0.000101917379277935
"98",7.17208955153379e-05,7.7240284431313e-05,5.77394986858884e-05,0.000101219332738317
"99",5.93265306645138e-05,7.17208955153379e-05,6.56279175632099e-05,9.8824880781848e-05
"100",3.17622526680379e-05,5.93265306645138e-05,6.91614105791604e-05,8.97479199460658e-05
"101",5.60197465211782e-05,3.17622526680379e-05,5.85442396362455e-05,8.59642464522147e-05
"102",4.4450894384689e-05,5.60197465211782e-05,5.92139419600762e-05,7.96209590890899e-05
"103",3.37073984322556e-05,4.4450894384689e-05,5.26560639507514e-05,7.58326519106724e-05
"104",3.53202178885839e-05,3.37073984322556e-05,4.50533645341349e-05,7.24122011453575e-05
"105",6.56766645699289e-05,3.53202178885839e-05,4.02521019789489e-05,7.0127974186276e-05
"106",4.35587545179432e-05,6.56766645699289e-05,4.70349843593271e-05,6.88898082790885e-05
"107",4.48762911178619e-05,4.35587545179432e-05,4.45427859586801e-05,6.26298221423968e-05
"108",2.51741197924793e-05,4.48762911178619e-05,4.46278653053147e-05,6.10725419457178e-05
"109",5.22035572882679e-05,2.51741197924793e-05,4.29212095773595e-05,5.70377127728956e-05
"110",5.52980241823848e-05,5.22035572882679e-05,4.62978774572962e-05,5.40029403542529e-05
"111",4.30295628998066e-05,5.52980241823848e-05,4.42221493797874e-05,5.23756771811365e-05
"112",5.06686720608234e-05,4.30295628998066e-05,4.41163110561601e-05,5.11414607591079e-05
"113",9.19189351370101e-05,5.06686720608234e-05,4.52747872447524e-05,5.02880383087851e-05
"114",8.62706084791144e-05,9.19189351370101e-05,5.86237503136585e-05,5.18001242432723e-05
"115",5.61424806529328e-05,8.62706084791144e-05,6.54371605518279e-05,5.36218463431663e-05
"116",1.83755059410758e-05,5.61424806529328e-05,6.56060518459375e-05,5.47065590488119e-05
"117",8.2169643734841e-05,1.83755059410758e-05,6.06752404541913e-05,5.36482154286444e-05
"118",4.35275020124033e-05,8.2169643734841e-05,6.69754347889948e-05,5.35264670810184e-05
