"","t0","t1","t5","t22"
"1",6.90755495880141e-05,3.47398133222337e-05,6.82256078491691e-05,3.79021273328423e-05
"2",6.88755905418925e-05,6.90755495880141e-05,7.39589436600968e-05,3.97232884366686e-05
"3",7.09540355274957e-05,6.88755905418925e-05,8.09185450492715e-05,3.95450601735157e-05
"4",5.15517180735805e-05,7.09540355274957e-05,5.85674573787106e-05,4.05076571134066e-05
"5",5.85458781465255e-05,5.15517180735805e-05,5.90393414106433e-05,4.14158609244182e-05
"6",0.000173546856236786,5.85458781465255e-05,6.38005543755017e-05,4.32702731771243e-05
"7",0.000163438357093529,0.000173546856236786,8.4694815705256e-05,5.05788926860193e-05
"8",0.000112392734539978,0.000163438357093529,0.000103607369015583,5.75800308814826e-05
"9",6.657143473603e-05,0.000112392734539978,0.00011189510881808,6.21852930532481e-05
"10",4.02241520190763e-05,6.657143473603e-05,0.00011489905215057,6.42101234486841e-05
"11",7.72258243865206e-05,4.02241520190763e-05,0.00011123470692508,6.52098498651572e-05
"12",4.36526318783535e-05,7.72258243865206e-05,9.1970500555027e-05,6.57439574983394e-05
"13",4.27189603888865e-05,4.36526318783535e-05,6.80133555119918e-05,6.6016994633824e-05
"14",6.75966695399016e-05,4.27189603888865e-05,5.40786006817734e-05,6.70058111654693e-05
"15",3.57820473761656e-05,6.75966695399016e-05,5.42836476425477e-05,6.89822605552237e-05
"16",9.6451032378064e-05,3.57820473761656e-05,5.33952267139655e-05,6.97531051635391e-05
"17",4.32064921986315e-05,9.6451032378064e-05,5.72402683122742e-05,7.26848966138885e-05
"18",7.52023437701096e-05,4.32064921986315e-05,5.71510403763298e-05,7.37699092679672e-05
"19",5.64409905341206e-05,7.52023437701096e-05,6.36477170525745e-05,7.53514307787278e-05
"20",6.52936750881028e-05,5.64409905341206e-05,6.14165812514183e-05,7.63679492759142e-05
"21",7.76987205025913e-05,6.52936750881028e-05,6.73189067938057e-05,7.10308675126325e-05
"22",7.12215181942267e-05,7.76987205025913e-05,6.35684444187112e-05,7.23266139939359e-05
"23",4.99321638962604e-05,7.12215181942267e-05,6.91714496178302e-05,7.39848733062992e-05
"24",5.28047812969695e-05,4.99321638962604e-05,6.41174136430604e-05,7.31147194112195e-05
"25",4.19828293045739e-05,5.28047812969695e-05,6.33901717956301e-05,7.23842280819048e-05
"26",3.15032912270504e-05,4.19828293045739e-05,5.87280026389244e-05,7.1067355071772e-05
"27",4.89848030326975e-05,3.15032912270504e-05,4.94889167838162e-05,7.01560629423843e-05
"28",2.72621890427956e-05,4.89848030326975e-05,4.50415737515104e-05,6.97214686190285e-05
"29",3.66911068232962e-05,2.72621890427956e-05,4.05075787808174e-05,6.30721655647562e-05
"30",3.91762271096818e-05,3.66911068232962e-05,3.72848438860827e-05,5.73109269161092e-05
"31",3.28738796942149e-05,3.91762271096818e-05,3.67235234471043e-05,5.39829038510957e-05
"32",8.45060122000339e-05,3.28738796942149e-05,3.69976411405372e-05,5.24511968037405e-05
"33",2.77490615700578e-05,8.45060122000339e-05,4.41018829740045e-05,5.44640086301477e-05
"34",5.22587193166989e-05,2.77490615700578e-05,4.41992574794569e-05,5.2215064865763e-05
"35",0.000108847719457681,5.22587193166989e-05,4.73127799781375e-05,5.2606250658415e-05
"36",0.000173998892164057,0.000108847719457681,6.12470784477373e-05,5.56121033433603e-05
"37",6.53779435232347e-05,0.000173998892164057,8.94720809417057e-05,6.04485680080946e-05
"38",5.87839437208194e-05,6.53779435232347e-05,8.56464672063458e-05,6.17938360147795e-05
"39",6.05895337588466e-05,5.87839437208194e-05,9.18534436364982e-05,6.00816956212684e-05
"40",5.40979045277627e-05,6.05895337588466e-05,9.35196065249277e-05,6.08718338740055e-05
"41",6.55226499618889e-05,5.40979045277627e-05,8.25696435389441e-05,5.99125411811715e-05
"42",3.01148694976502e-05,6.55226499618889e-05,6.08743950985105e-05,6.03253438824337e-05
"43",8.19903468221593e-05,3.01148694976502e-05,5.38217802933936e-05,5.87263072646859e-05
"44",7.42578591142155e-05,8.19903468221593e-05,5.84630609136615e-05,5.89213811883026e-05
"45",7.99915610290585e-05,7.42578591142155e-05,6.11967259847353e-05,5.90593966846657e-05
"46",5.71857552165017e-05,7.99915610290585e-05,6.63754572849945e-05,6.04257329179747e-05
"47",2.7951825404268e-05,5.71857552165017e-05,6.4708078335917e-05,6.06248680961353e-05
"48",2.6065674165391e-05,2.7951825404268e-05,6.42754695172406e-05,5.99870951915759e-05
"49",5.06316960960547e-05,2.6065674165391e-05,5.30905349858869e-05,5.97399307796823e-05
"50",4.88738405455122e-05,5.06316960960547e-05,4.83653023822548e-05,5.98147895552895e-05
"51",6.81565766048742e-05,4.88738405455122e-05,4.21417582855455e-05,6.07971373508675e-05
"52",0.00018032338852193,6.81565766048742e-05,4.433592256322e-05,6.22273859773029e-05
"53",6.42984424163171e-05,0.00018032338852193,7.48102351867524e-05,6.8643166041496e-05
"54",4.74518123997822e-05,6.42984424163171e-05,8.24567888369376e-05,7.0071555256137e-05
"55",3.66318942386886e-05,4.74518123997822e-05,8.18208120976831e-05,6.83872734470346e-05
"56",4.84704097896245e-05,3.66318942386886e-05,7.93724228363184e-05,6.8791038568336e-05
"57",2.88502005756871e-05,4.84704097896245e-05,7.54351894732685e-05,6.86188426807417e-05
"58",0.000121809445875036,2.88502005756871e-05,4.51405518840199e-05,6.49825918224693e-05
"59",0.000183060814032782,0.000121809445875036,5.66427525757637e-05,6.26103442638774e-05
"60",7.5325019790033e-05,0.000183060814032782,8.37645529023638e-05,6.7959565650675e-05
"61",6.08153024727213e-05,7.5325019790033e-05,9.15031780126327e-05,6.87114327447302e-05
"62",5.43797569468729e-05,6.08153024727213e-05,9.3972156549252e-05,6.87216949589972e-05
"63",7.41718498084256e-05,5.43797569468729e-05,9.90780678234892e-05,6.87345064325932e-05
"64",0.000147500940786275,7.41718498084256e-05,8.9550548610167e-05,6.9127651880163e-05
"65",9.99727288918843e-05,0.000147500940786275,8.24385739608657e-05,7.44633823932823e-05
"66",4.58805231785721e-05,9.99727288918843e-05,8.73681157812359e-05,7.52807633964517e-05
"67",3.21967857262388e-05,4.58805231785721e-05,8.43811599224061e-05,7.3990884490286e-05
"68",3.45570925232603e-05,3.21967857262388e-05,7.99445656782792e-05,7.18183947037942e-05
"69",3.7839417953157e-05,3.45570925232603e-05,7.20216142212462e-05,7.07898191268287e-05
"70",0.000245184623182507,3.7839417953157e-05,5.00893096546225e-05,7.12392551517782e-05
"71",9.13427534065523e-05,0.000245184623182507,7.9131688512747e-05,8.11992073798289e-05
