"","t0","t1","t5","t22"
"52",6.61113150353637e-05,5.33442748756074e-05,6.44289137627944e-05,8.5563577723134e-05
"53",5.40093618262881e-05,6.61113150353637e-05,5.93277707933823e-05,8.71078242955824e-05
"54",3.87198093920544e-05,5.40093618262881e-05,6.0906364796603e-05,8.79143594304056e-05
"55",5.4725554951021e-05,3.87198093920544e-05,6.30017977545258e-05,8.38392327866644e-05
"56",4.78027964461881e-05,5.4725554951021e-05,5.33820632160669e-05,8.40321261453988e-05
"57",4.01696668264192e-05,4.78027964461881e-05,5.22737675301831e-05,8.22527026923354e-05
"58",7.76183611512224e-05,4.01696668264192e-05,4.70854378883942e-05,7.64747899651873e-05
"59",7.05622967755368e-05,7.76183611512224e-05,5.1807237753381e-05,7.42539720285131e-05
"60",0.000105922851149622,7.05622967755368e-05,5.81757352300775e-05,7.28279488568468e-05
"61",4.59221273214004e-05,0.000105922851149622,6.84151944697976e-05,7.27218504112754e-05
"62",4.07899730240528e-05,4.59221273214004e-05,6.80390606448401e-05,7.16129949965941e-05
"63",4.33904518933132e-05,4.07899730240528e-05,6.81631218843668e-05,7.06753957432687e-05
"64",7.34217989351339e-05,4.33904518933132e-05,6.1317540032785e-05,6.83093037257325e-05
"65",6.35412380125213e-05,7.34217989351339e-05,6.18894404647044e-05,6.86813913774735e-05
"66",4.69040586772169e-05,6.35412380125213e-05,5.34131178372843e-05,6.33336698166688e-05
"67",5.24175479881201e-05,4.69040586772169e-05,5.36095041084476e-05,6.15337065128443e-05
"68",7.30999153373957e-05,5.24175479881201e-05,5.59350191012611e-05,5.97949756117345e-05
"69",7.92502093872044e-05,7.30999153373957e-05,6.18769117900776e-05,5.98760769798564e-05
"70",0.000126813271834567,7.92502093872044e-05,6.30425938804917e-05,5.93139487755283e-05
"71",9.79630408733837e-05,0.000126813271834567,7.56970006449008e-05,6.29819887766365e-05
"72",0.000128636882975492,9.79630408733837e-05,8.59087970841341e-05,6.61510976980431e-05
"73",0.000112299267969803,0.000128636882975492,0.000101152664081608,6.7324400213142e-05
"74",4.82438257935317e-05,0.000112299267969803,0.00010899253460809,7.00041726265145e-05
"75",6.04049924972445e-05,4.82438257935317e-05,0.000102791257889355,6.9192014024613e-05
"76",0.000123540391072691,6.04049924972445e-05,8.95096020218908e-05,6.94827245096565e-05
"77",0.000112816451884641,0.000123540391072691,9.46250720617522e-05,7.333820549514e-05
"78",0.0001335954972523,0.000112816451884641,9.1460985843582e-05,7.59787008103045e-05
"79",0.00017521950059898,0.0001335954972523,9.57202317000815e-05,7.98783690287641e-05
